# Performance Monitoring Events for Intel(R) Xeon Phi Processor Family based on the Intel(R) Many Integrated Core Architecture - V8
# 8/16/2016 1:32:30 PM
# Copyright (c) 2007 - 2016 Intel Corporation. All rights reserved.
Unit	EventCode	UMask	EventName	BriefDescription	Counter	Filter	Internal
CHA	0x00	0x00	UNC_H_U_CLOCKTICKS	Uncore Clocks	0,1,2,3	null	0
CHA	0x11	0x01	UNC_H_INGRESS_OCCUPANCY.IRQ	Ingress Occupancy. Counts number of entries in the specified Ingress queue in each cycle. - IRQ	0	null	0
CHA	0x11	0x02	UNC_H_INGRESS_OCCUPANCY.IRQ_REJ	Ingress Occupancy. Counts number of entries in the specified Ingress queue in each cycle. - IRQ Rejected	0	null	0
CHA	0x11	0x04	UNC_H_INGRESS_OCCUPANCY.IPQ	Ingress Occupancy. Counts number of entries in the specified Ingress queue in each cycle. - IPQ	0	null	0
CHA	0x11	0x10	UNC_H_INGRESS_OCCUPANCY.PRQ	Ingress Occupancy. Counts number of entries in the specified Ingress queue in each cycle. - PRQ	0	null	0
CHA	0x11	0x20	UNC_H_INGRESS_OCCUPANCY.PRQ_REJ	Ingress Occupancy. Counts number of entries in the specified Ingress queue in each cycle. - PRQ Rejected	0	null	0
CHA	0x13	0x01	UNC_H_INGRESS_INSERTS.IRQ	Ingress Allocations. Counts number of allocations per cycle into the specified Ingress queue. - IRQ	0,1,2,3	null	0
CHA	0x13	0x02	UNC_H_INGRESS_INSERTS.IRQ_REJ	Ingress Allocations. Counts number of allocations per cycle into the specified Ingress queue. - IRQ Rejected	0,1,2,3	null	0
CHA	0x13	0x04	UNC_H_INGRESS_INSERTS.IPQ	Ingress Allocations. Counts number of allocations per cycle into the specified Ingress queue. - IPQ	0,1,2,3	null	0
CHA	0x13	0x10	UNC_H_INGRESS_INSERTS.PRQ	Ingress Allocations. Counts number of allocations per cycle into the specified Ingress queue. - PRQ	0,1,2,3	null	0
CHA	0x13	0x20	UNC_H_INGRESS_INSERTS.PRQ_REJ	Ingress Allocations. Counts number of allocations per cycle into the specified Ingress queue. - PRQ Rejected	0,1,2,3	null	0
CHA	0x14	0x01	UNC_H_INGRESS_INT_STARVED.IRQ	Cycles with the IRQ in Internal Starvation.	0,1,2,3	null	0
CHA	0x14	0x04	UNC_H_INGRESS_INT_STARVED.IPQ	Cycles with the IPQ in Internal Starvation.	0,1,2,3	null	0
CHA	0x14	0x08	UNC_H_INGRESS_INT_STARVED.ISMQ	Cycles with the ISMQ in Internal Starvation.	0,1,2,3	null	0
CHA	0x14	0x10	UNC_H_INGRESS_INT_STARVED.PRQ	tbd	0,1,2,3	null	0
CHA	0x18	0x01	UNC_H_INGRESS_RETRY_IRQ0_REJECT.AD_REQ_VN0	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x18	0x02	UNC_H_INGRESS_RETRY_IRQ0_REJECT.AD_RSP_VN0	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x18	0x04	UNC_H_INGRESS_RETRY_IRQ0_REJECT.BL_RSP_VN0	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x18	0x08	UNC_H_INGRESS_RETRY_IRQ0_REJECT.BL_WB_VN0	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x18	0x10	UNC_H_INGRESS_RETRY_IRQ0_REJECT.BL_NCB_VN0	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x18	0x20	UNC_H_INGRESS_RETRY_IRQ0_REJECT.BL_NCS_VN0	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x18	0x40	UNC_H_INGRESS_RETRY_IRQ0_REJECT.AK_NON_UPI	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x18	0x80	UNC_H_INGRESS_RETRY_IRQ0_REJECT.IV_NON_UPI	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x19	0x01	UNC_H_INGRESS_RETRY_IRQ1_REJECT.ANY_REJECT_IRQ0	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x19	0x08	UNC_H_INGRESS_RETRY_IRQ1_REJECT.SF_VICTIM	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x19	0x20	UNC_H_INGRESS_RETRY_IRQ1_REJECT.SF_WAY	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x19	0x40	UNC_H_INGRESS_RETRY_IRQ1_REJECT.ALLOW_SNP	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x19	0x80	UNC_H_INGRESS_RETRY_IRQ1_REJECT.PA_MATCH	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x20	0x01	UNC_H_INGRESS_RETRY_PRQ0_REJECT.AD_REQ_VN0	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x20	0x02	UNC_H_INGRESS_RETRY_PRQ0_REJECT.AD_RSP_VN0	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x20	0x04	UNC_H_INGRESS_RETRY_PRQ0_REJECT.BL_RSP_VN0	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x20	0x08	UNC_H_INGRESS_RETRY_PRQ0_REJECT.BL_WB_VN0	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x20	0x10	UNC_H_INGRESS_RETRY_PRQ0_REJECT.BL_NCB_VN0	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x20	0x20	UNC_H_INGRESS_RETRY_PRQ0_REJECT.BL_NCS_VN0	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x20	0x40	UNC_H_INGRESS_RETRY_PRQ0_REJECT.AK_NON_UPI	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x20	0x80	UNC_H_INGRESS_RETRY_PRQ0_REJECT.IV_NON_UPI	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x21	0x01	UNC_H_INGRESS_RETRY_PRQ1_REJECT.ANY_REJECT_IRQ0	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x21	0x08	UNC_H_INGRESS_RETRY_PRQ1_REJECT.SF_VICTIM	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x21	0x20	UNC_H_INGRESS_RETRY_PRQ1_REJECT.SF_WAY	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x21	0x40	UNC_H_INGRESS_RETRY_PRQ1_REJECT.ALLOW_SNP	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x21	0x80	UNC_H_INGRESS_RETRY_PRQ1_REJECT.PA_MATCH	Ingress Request Queue Rejects	0,1,2,3	null	0
CHA	0x22	0x01	UNC_H_INGRESS_RETRY_IPQ0_REJECT.AD_REQ_VN0	Ingress Probe Queue Rejects	0,1,2,3	null	0
CHA	0x22	0x02	UNC_H_INGRESS_RETRY_IPQ0_REJECT.AD_RSP_VN0	Ingress Probe Queue Rejects	0,1,2,3	null	0
CHA	0x22	0x04	UNC_H_INGRESS_RETRY_IPQ0_REJECT.BL_RSP_VN0	Ingress Probe Queue Rejects	0,1,2,3	null	0
CHA	0x22	0x08	UNC_H_INGRESS_RETRY_IPQ0_REJECT.BL_WB_VN0	Ingress Probe Queue Rejects	0,1,2,3	null	0
CHA	0x22	0x10	UNC_H_INGRESS_RETRY_IPQ0_REJECT.BL_NCB_VN0	Ingress Probe Queue Rejects	0,1,2,3	null	0
CHA	0x22	0x20	UNC_H_INGRESS_RETRY_IPQ0_REJECT.BL_NCS_VN0	Ingress Probe Queue Rejects	0,1,2,3	null	0
CHA	0x22	0x40	UNC_H_INGRESS_RETRY_IPQ0_REJECT.AK_NON_UPI	Ingress Probe Queue Rejects	0,1,2,3	null	0
CHA	0x22	0x80	UNC_H_INGRESS_RETRY_IPQ0_REJECT.IV_NON_UPI	Ingress Probe Queue Rejects	0,1,2,3	null	0
CHA	0x23	0x01	UNC_H_INGRESS_RETRY_IPQ1_REJECT.ANY_REJECT_IPQ0	Ingress Probe Queue Rejects	0,1,2,3	null	0
CHA	0x23	0x08	UNC_H_INGRESS_RETRY_IPQ1_REJECT.SF_VICTIM	Ingress Probe Queue Rejects	0,1,2,3	null	0
CHA	0x23	0x20	UNC_H_INGRESS_RETRY_IPQ1_REJECT.SF_WAY	Ingress Probe Queue Rejects	0,1,2,3	null	0
CHA	0x23	0x40	UNC_H_INGRESS_RETRY_IPQ1_REJECT.ALLOW_SNP	Ingress Probe Queue Rejects	0,1,2,3	null	0
CHA	0x23	0x80	UNC_H_INGRESS_RETRY_IPQ1_REJECT.PA_MATCH	Ingress Probe Queue Rejects	0,1,2,3	null	0
CHA	0x24	0x01	UNC_H_INGRESS_RETRY_ISMQ0_REJECT.AD_REQ_VN0	ISMQ Rejects	0,1,2,3	null	0
CHA	0x24	0x02	UNC_H_INGRESS_RETRY_ISMQ0_REJECT.AD_RSP_VN0	ISMQ Rejects	0,1,2,3	null	0
CHA	0x24	0x04	UNC_H_INGRESS_RETRY_ISMQ0_REJECT.BL_RSP_VN0	ISMQ Rejects	0,1,2,3	null	0
CHA	0x24	0x08	UNC_H_INGRESS_RETRY_ISMQ0_REJECT.BL_WB_VN0	ISMQ Rejects	0,1,2,3	null	0
CHA	0x24	0x10	UNC_H_INGRESS_RETRY_ISMQ0_REJECT.BL_NCB_VN0	ISMQ Rejects	0,1,2,3	null	0
CHA	0x24	0x20	UNC_H_INGRESS_RETRY_ISMQ0_REJECT.BL_NCS_VN0	ISMQ Rejects	0,1,2,3	null	0
CHA	0x24	0x40	UNC_H_INGRESS_RETRY_ISMQ0_REJECT.AK_NON_UPI	ISMQ Rejects	0,1,2,3	null	0
CHA	0x24	0x80	UNC_H_INGRESS_RETRY_ISMQ0_REJECT.IV_NON_UPI	ISMQ Rejects	0,1,2,3	null	0
CHA	0x2A	0x01	UNC_H_INGRESS_RETRY_REQ_Q0_RETRY.AD_REQ_VN0	REQUESTQ'' includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)	0,1,2,3	null	0
CHA	0x2A	0x02	UNC_H_INGRESS_RETRY_REQ_Q0_RETRY.AD_RSP_VN0	REQUESTQ'' includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)	0,1,2,3	null	0
CHA	0x2A	0x04	UNC_H_INGRESS_RETRY_REQ_Q0_RETRY.BL_RSP_VN0	REQUESTQ'' includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)	0,1,2,3	null	0
CHA	0x2A	0x08	UNC_H_INGRESS_RETRY_REQ_Q0_RETRY.BL_WB_VN0	REQUESTQ'' includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)	0,1,2,3	null	0
CHA	0x2A	0x10	UNC_H_INGRESS_RETRY_REQ_Q0_RETRY.BL_NCB_VN0	REQUESTQ'' includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)	0,1,2,3	null	0
CHA	0x2A	0x20	UNC_H_INGRESS_RETRY_REQ_Q0_RETRY.BL_NCS_VN0	REQUESTQ'' includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)	0,1,2,3	null	0
CHA	0x2A	0x40	UNC_H_INGRESS_RETRY_REQ_Q0_RETRY.AK_NON_UPI	REQUESTQ'' includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)	0,1,2,3	null	0
CHA	0x2A	0x80	UNC_H_INGRESS_RETRY_REQ_Q0_RETRY.IV_NON_UPI	REQUESTQ'' includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)	0,1,2,3	null	0
CHA	0x2B	0x01	UNC_H_INGRESS_RETRY_REQ_Q1_RETRY.ANY_REJECT_IRQ0	REQUESTQ'' includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)	0,1,2,3	null	0
CHA	0x2B	0x08	UNC_H_INGRESS_RETRY_REQ_Q1_RETRY.SF_VICTIM	REQUESTQ'' includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)	0,1,2,3	null	0
CHA	0x2B	0x20	UNC_H_INGRESS_RETRY_REQ_Q1_RETRY.SF_WAY	REQUESTQ'' includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)	0,1,2,3	null	0
CHA	0x2B	0x40	UNC_H_INGRESS_RETRY_REQ_Q1_RETRY.ALLOW_SNP	REQUESTQ'' includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)	0,1,2,3	null	0
CHA	0x2B	0x80	UNC_H_INGRESS_RETRY_REQ_Q1_RETRY.PA_MATCH	REQUESTQ'' includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)	0,1,2,3	null	0
CHA	0x2C	0x01	UNC_H_INGRESS_RETRY_ISMQ0_RETRY.AD_REQ_VN0	ISMQ Retries	0,1,2,3	null	0
CHA	0x2C	0x02	UNC_H_INGRESS_RETRY_ISMQ0_RETRY.AD_RSP_VN0	ISMQ Retries	0,1,2,3	null	0
CHA	0x2C	0x04	UNC_H_INGRESS_RETRY_ISMQ0_RETRY.BL_RSP_VN0	ISMQ Retries	0,1,2,3	null	0
CHA	0x2C	0x08	UNC_H_INGRESS_RETRY_ISMQ0_RETRY.BL_WB_VN0	ISMQ Retries	0,1,2,3	null	0
CHA	0x2C	0x10	UNC_H_INGRESS_RETRY_ISMQ0_RETRY.BL_NCB_VN0	ISMQ Retries	0,1,2,3	null	0
CHA	0x2C	0x20	UNC_H_INGRESS_RETRY_ISMQ0_RETRY.BL_NCS_VN0	ISMQ Retries	0,1,2,3	null	0
CHA	0x2C	0x40	UNC_H_INGRESS_RETRY_ISMQ0_RETRY.AK_NON_UPI	ISMQ Retries	0,1,2,3	null	0
CHA	0x2C	0x80	UNC_H_INGRESS_RETRY_ISMQ0_RETRY.IV_NON_UPI	ISMQ Retries	0,1,2,3	null	0
CHA	0x2E	0x01	UNC_H_INGRESS_RETRY_OTHER0_RETRY.AD_REQ_VN0	Other Queue Retries	0,1,2,3	null	0
CHA	0x2E	0x02	UNC_H_INGRESS_RETRY_OTHER0_RETRY.AD_RSP_VN0	Other Queue Retries	0,1,2,3	null	0
CHA	0x2E	0x04	UNC_H_INGRESS_RETRY_OTHER0_RETRY.BL_RSP_VN0	Other Queue Retries	0,1,2,3	null	0
CHA	0x2E	0x08	UNC_H_INGRESS_RETRY_OTHER0_RETRY.BL_WB_VN0	Other Queue Retries	0,1,2,3	null	0
CHA	0x2E	0x10	UNC_H_INGRESS_RETRY_OTHER0_RETRY.BL_NCB_VN0	Other Queue Retries	0,1,2,3	null	0
CHA	0x2E	0x20	UNC_H_INGRESS_RETRY_OTHER0_RETRY.BL_NCS_VN0	Other Queue Retries	0,1,2,3	null	0
CHA	0x2E	0x40	UNC_H_INGRESS_RETRY_OTHER0_RETRY.AK_NON_UPI	Other Queue Retries	0,1,2,3	null	0
CHA	0x2E	0x80	UNC_H_INGRESS_RETRY_OTHER0_RETRY.IV_NON_UPI	Other Queue Retries	0,1,2,3	null	0
CHA	0x2F	0x01	UNC_H_INGRESS_RETRY_OTHER1_RETRY.ANY_REJECT_IRQ0	Other Queue Retries	0,1,2,3	null	0
CHA	0x2F	0x08	UNC_H_INGRESS_RETRY_OTHER1_RETRY.SF_VICTIM	Other Queue Retries	0,1,2,3	null	0
CHA	0x2F	0x20	UNC_H_INGRESS_RETRY_OTHER1_RETRY.SF_WAY	Other Queue Retries	0,1,2,3	null	0
CHA	0x2F	0x40	UNC_H_INGRESS_RETRY_OTHER1_RETRY.ALLOW_SNP	Other Queue Retries	0,1,2,3	null	0
CHA	0x2F	0x80	UNC_H_INGRESS_RETRY_OTHER1_RETRY.PA_MATCH	Other Queue Retries	0,1,2,3	null	0
CHA	0x34	0x03	UNC_H_SF_LOOKUP.DATA_READ	Cache Lookups. Counts the number of times the LLC was accessed. Read transactions	0,1,2,3	null	0
CHA	0x34	0x05	UNC_H_SF_LOOKUP.WRITE	Cache Lookups. Counts the number of times the LLC was accessed. Writeback transactions from L2 to the LLC  This includes all write transactions -- both Cachable and UC.	0,1,2,3	null	0
CHA	0x34	0x09	UNC_H_SF_LOOKUP.REMOTE_SNOOP	Cache Lookups. Counts the number of times the LLC was accessed. Filters for only snoop requests coming from the remote socket(s) through the IPQ.	0,1,2,3	null	0
CHA	0x34	0x11	UNC_H_SF_LOOKUP.ANY	Cache Lookups. Counts the number of times the LLC was accessed. Filters for any transaction originating from the IPQ or IRQ.  This does not include lookups originating from the ISMQ.	0,1,2,3	null	0
CHA	0x37	0x01	UNC_H_CACHE_LINES_VICTIMIZED.M_STATE	Cache Lookups. Counts the number of times the LLC was accessed. Read transactions	0,1,2,3	null	0
CHA	0x37	0x02	UNC_H_CACHE_LINES_VICTIMIZED.E_STATE	Cache Lookups. Counts the number of times the LLC was accessed. Writeback transactions from L2 to the LLC  This includes all write transactions -- both Cachable and UC.	0,1,2,3	null	0
CHA	0x37	0x04	UNC_H_CACHE_LINES_VICTIMIZED.S_STATE	Cache Lookups. Counts the number of times the LLC was accessed. Filters for only snoop requests coming from the remote socket(s) through the IPQ.	0,1,2,3	null	0
CHA	0x37	0x08	UNC_H_CACHE_LINES_VICTIMIZED.F_STATE	Cache Lookups. Counts the number of times the LLC was accessed. Filters for any transaction originating from the IPQ or IRQ.  This does not include lookups originating from the ISMQ.	0,1,2,3	null	0
CHA	0x37	0x20	UNC_H_CACHE_LINES_VICTIMIZED.LOCAL	Lines Victimized that Match NID	0,1,2,3	null	0
CHA	0x37	0x80	UNC_H_CACHE_LINES_VICTIMIZED.REMOTE	Lines Victimized that Does Not Match NID	0,1,2,3	null	0
CHA	0x35	0x31	UNC_H_TOR_INSERTS.IRQ	Counts the number of entries successfuly inserted into the TOR that match  qualifications specified by the subevent -IRQ	0,1,2,3	CHAFilter1	0
CHA	0x35	0x32	UNC_H_TOR_INSERTS.EVICT	Counts the number of entries successfuly inserted into the TOR that match  qualifications specified by the subevent -SF/LLC Evictions	0,1,2,3	CHAFilter1	0
CHA	0x35	0x34	UNC_H_TOR_INSERTS.PRQ	Counts the number of entries successfuly inserted into the TOR that match  qualifications specified by the subevent -PRQ	0,1,2,3	CHAFilter1	0
CHA	0x35	0x38	UNC_H_TOR_INSERTS.IPQ	Counts the number of entries successfuly inserted into the TOR that match  qualifications specified by the subevent -IPQ	0,1,2,3	CHAFilter1	0
CHA	0x35	0x1F	UNC_H_TOR_INSERTS.HIT	Counts the number of entries successfuly inserted into the TOR that match  qualifications specified by the subevent -Hit (Not a Miss)	0,1,2,3	CHAFilter1	0
CHA	0x35	0x2F	UNC_H_TOR_INSERTS.MISS	Counts the number of entries successfuly inserted into the TOR that match  qualifications specified by the subevent -Miss	0,1,2,3	CHAFilter1	0
CHA	0x36	0x31	UNC_H_TOR_OCCUPANCY.IRQ	For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent -IRQ or PRQ	0	CHAFilter1	0
CHA	0x36	0x32	UNC_H_TOR_OCCUPANCY.EVICT	For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent -SF/LLC Evictions	0	CHAFilter1	0
CHA	0x36	0x34	UNC_H_TOR_OCCUPANCY.PRQ	For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent -PRQ	0	CHAFilter1	0
CHA	0x36	0x38	UNC_H_TOR_OCCUPANCY.IPQ	For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent -IPQ	0	CHAFilter1	0
CHA	0x36	0x1F	UNC_H_TOR_OCCUPANCY.HIT	For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent -Hit (Not a Miss)	0	CHAFilter1	0
CHA	0x36	0x2F	UNC_H_TOR_OCCUPANCY.MISS	For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent -Miss	0	CHAFilter1	0
CHA	0x39	0x01	UNC_H_MISC.RSPI_WAS_FSE	Miscellaneous events in the Cbo. Silent Snoop Eviction	0,1,2,3	null	0
CHA	0x39	0x02	UNC_H_MISC.WC_ALIASING	Miscellaneous events in the Cbo. Write Combining Aliasing	0,1,2,3	null	0
CHA	0x39	0x08	UNC_H_MISC.RFO_HIT_S	Miscellaneous events in the Cbo. RFO HitS	0,1,2,3	null	0
CHA	0x39	0x10	UNC_H_MISC.CV0_PREF_VIC	Miscellaneous events in the Cbo. CV0 Prefetch Victim	0,1,2,3	null	0
CHA	0x39	0x20	UNC_H_MISC.CV0_PREF_MISS	Miscellaneous events in the Cbo. CV0 Prefetch Miss	0,1,2,3	null	0
M2PCIe	0x10	0x01	UNC_M2P_INGRESS_CYCLES_NE.CBO_IDI	Ingress Queue Cycles Not Empty. Counts the number of cycles when the M2PCIe Ingress is not empty.CBO_IDI	0,1,2,3	null	0
M2PCIe	0x10	0x02	UNC_M2P_INGRESS_CYCLES_NE.CBO_NCB	Ingress Queue Cycles Not Empty. Counts the number of cycles when the M2PCIe Ingress is not empty.CBO_NCB	0,1,2,3	null	0
M2PCIe	0x10	0x04	UNC_M2P_INGRESS_CYCLES_NE.CBO_NCS	Ingress Queue Cycles Not Empty. Counts the number of cycles when the M2PCIe Ingress is not empty.CBO_NCS	0,1,2,3	null	0
M2PCIe	0x10	0x80	UNC_M2P_INGRESS_CYCLES_NE.ALL	Ingress Queue Cycles Not Empty. Counts the number of cycles when the M2PCIe Ingress is not empty.ALL	0,1,2,3	null	0
M2PCIe	0x23	0x01	UNC_M2P_EGRESS_CYCLES_NE.AD_0	Egress (to CMS) Cycles Not Empty. Counts the number of cycles when the M2PCIe Egress is not empty.  AD_0	0,1	null	0
M2PCIe	0x23	0x02	UNC_M2P_EGRESS_CYCLES_NE.AK_0	Egress (to CMS) Cycles Not Empty. Counts the number of cycles when the M2PCIe Egress is not empty.  AK_0	0,1	null	0
M2PCIe	0x23	0x04	UNC_M2P_EGRESS_CYCLES_NE.BL_0	Egress (to CMS) Cycles Not Empty. Counts the number of cycles when the M2PCIe Egress is not empty.  BL_0	0,1	null	0
M2PCIe	0x23	0x08	UNC_M2P_EGRESS_CYCLES_NE.AD_1	Egress (to CMS) Cycles Not Empty. Counts the number of cycles when the M2PCIe Egress is not empty.  AD_1	0,1	null	0
M2PCIe	0x23	0x10	UNC_M2P_EGRESS_CYCLES_NE.AK_1	Egress (to CMS) Cycles Not Empty. Counts the number of cycles when the M2PCIe Egress is not empty.  AK_1	0,1	null	0
M2PCIe	0x23	0x20	UNC_M2P_EGRESS_CYCLES_NE.BL_1	Egress (to CMS) Cycles Not Empty. Counts the number of cycles when the M2PCIe Egress is not empty.  BL_1	0,1	null	0
M2PCIe	0x24	0x01	UNC_M2P_EGRESS_INSERTS.AD_0	Egress (to CMS) Ingress. Counts the number of number of messages inserted into the  the M2PCIe Egress queue. AD_0	0,1,2,3	null	0
M2PCIe	0x24	0x02	UNC_M2P_EGRESS_INSERTS.AK_0	Egress (to CMS) Ingress. Counts the number of number of messages inserted into the  the M2PCIe Egress queue. AK_0	0,1,2,3	null	0
M2PCIe	0x24	0x04	UNC_M2P_EGRESS_INSERTS.BL_0	Egress (to CMS) Ingress. Counts the number of number of messages inserted into the  the M2PCIe Egress queue. BL_0	0,1,2,3	null	0
M2PCIe	0x24	0x08	UNC_M2P_EGRESS_INSERTS.AK_CRD_0	Egress (to CMS) Ingress. Counts the number of number of messages inserted into the  the M2PCIe Egress queue. AK_CRD_0	0,1,2,3	null	0
M2PCIe	0x24	0x10	UNC_M2P_EGRESS_INSERTS.AD_1	Egress (to CMS) Ingress. Counts the number of number of messages inserted into the  the M2PCIe Egress queue. AD_1	0,1,2,3	null	0
M2PCIe	0x24	0x20	UNC_M2P_EGRESS_INSERTS.AK_1	Egress (to CMS) Ingress. Counts the number of number of messages inserted into the  the M2PCIe Egress queue. AK_1	0,1,2,3	null	0
M2PCIe	0x24	0x40	UNC_M2P_EGRESS_INSERTS.BL_1	Egress (to CMS) Ingress. Counts the number of number of messages inserted into the  the M2PCIe Egress queue. BL_1	0,1,2,3	null	0
M2PCIe	0x24	0x80	UNC_M2P_EGRESS_INSERTS.AK_CRD_1	Egress (to CMS) Ingress. Counts the number of number of messages inserted into the  the M2PCIe Egress queue. AK_CRD_1	0,1,2,3	null	0
M2PCIe	0x25	0x01	UNC_M2P_EGRESS_CYCLES_FULL.AD_0	Egress (to CMS) Cycles Full. Counts the number of cycles when the M2PCIe Egress is full.  AD_0	0,1,2,3	null	0
M2PCIe	0x25	0x02	UNC_M2P_EGRESS_CYCLES_FULL.AK_0	Egress (to CMS) Cycles Full. Counts the number of cycles when the M2PCIe Egress is full.  AK_0	0,1,2,3	null	0
M2PCIe	0x25	0x04	UNC_M2P_EGRESS_CYCLES_FULL.BL_0	Egress (to CMS) Cycles Full. Counts the number of cycles when the M2PCIe Egress is full.  BL_0	0,1,2,3	null	0
M2PCIe	0x25	0x08	UNC_M2P_EGRESS_CYCLES_FULL.AD_1	Egress (to CMS) Cycles Full. Counts the number of cycles when the M2PCIe Egress is full.  AD_1	0,1,2,3	null	0
