# Performance Monitoring Events for the Next+1 Generation Intel Core Processors Based on the Skylake Microarchitecture - V13
# 9/17/2015 11:13:39 AM
# Copyright (c) 2007 - 2014 Intel Corporation. All rights reserved.
MATRIX_REQUEST	MATRIX_RESPONSE	MATRIX_VALUE	MATRIX_REGISTER	DESCRIPTION
Null	L3_HIT_E.SNOOP_NOT_NEEDED	0x010008	0,1	tbd
Null	L3_HIT_E.SNOOP_MISS	0x020008	0,1	tbd
Null	L3_HIT_E.SNOOP_HIT_NO_FWD	0x040008	0,1	tbd
Null	L3_HIT_E.SNOOP_HITM	0x100008	0,1	tbd
Null	L3_HIT_E.SNOOP_NON_DRAM	0x200008	0,1	tbd
Null	L3_HIT_E.ANY_SNOOP	0x3fc008	0,1	tbd
Null	L3_HIT_S.SPL_HIT	0x004010	0,1	tbd
Null	L3_HIT_S.SNOOP_NONE	0x008010	0,1	tbd
Null	L3_HIT_S.SNOOP_NOT_NEEDED	0x010010	0,1	tbd
Null	L3_HIT_S.SNOOP_MISS	0x020010	0,1	tbd
Null	L3_HIT_S.SNOOP_HIT_NO_FWD	0x040010	0,1	tbd
Null	L3_HIT_S.SNOOP_HITM	0x100010	0,1	tbd
Null	L3_HIT_S.SNOOP_NON_DRAM	0x200010	0,1	tbd
Null	L3_HIT_S.ANY_SNOOP	0x3fc010	0,1	tbd
Null	L3_HIT.SPL_HIT	0x00401c	0,1	tbd
Null	L3_HIT.SNOOP_NONE	0x00801c	0,1	tbd
Null	L3_HIT.SNOOP_NOT_NEEDED	0x01001c	0,1	hit in the L3 and sibling core snoops are not needed as either the core-valid bit is not set or the shared line is present in multiple cores.
Null	L3_HIT.SNOOP_MISS	0x02001c	0,1	hit in the L3 and the snoops sent to sibling cores return clean response.
Null	L3_HIT.SNOOP_HIT_NO_FWD	0x04001c	0,1	hit in the L3 and the snoops to sibling cores hit in either E/S state and the line is not forwarded.
Null	L3_HIT.SNOOP_HITM	0x10001c	0,1	tbd
Null	L3_HIT.SNOOP_NON_DRAM	0x20001c	0,1	tbd
Null	L3_HIT.ANY_SNOOP	0x3fc01c	0,1	tbd
Null	L4_HIT_LOCAL_L4.SPL_HIT	0x004040	0,1	tbd
Null	L4_HIT_LOCAL_L4.SNOOP_NONE	0x008040	0,1	tbd
Null	L4_HIT_LOCAL_L4.SNOOP_NOT_NEEDED	0x010040	0,1	tbd
Null	L4_HIT_LOCAL_L4.SNOOP_MISS	0x020040	0,1	tbd
Null	L4_HIT_LOCAL_L4.SNOOP_HIT_NO_FWD	0x040040	0,1	tbd
Null	L4_HIT_LOCAL_L4.SNOOP_HIT_WITH_FWD	0x080040	0,1	tbd
Null	L4_HIT_LOCAL_L4.SNOOP_HITM	0x100040	0,1	tbd
Null	L4_HIT_LOCAL_L4.SNOOP_NON_DRAM	0x200040	0,1	tbd
Null	L4_HIT_LOCAL_L4.ANY_SNOOP	0x3fc040	0,1	tbd
Null	L3_MISS_LOCAL_DRAM.SPL_HIT	0x004400	0,1	tbd
Null	L3_MISS_LOCAL_DRAM.SNOOP_NONE	0x008400	0,1	tbd
Null	L3_MISS_LOCAL_DRAM.SNOOP_NOT_NEEDED	0x010400	0,1	tbd
Null	L3_MISS_LOCAL_DRAM.SNOOP_MISS	0x020400	0,1	tbd
Null	L3_MISS_LOCAL_DRAM.SNOOP_HIT_NO_FWD	0x040400	0,1	tbd
Null	L3_MISS_LOCAL_DRAM.SNOOP_HITM	0x100400	0,1	tbd
Null	L3_MISS_LOCAL_DRAM.SNOOP_NON_DRAM	0x200400	0,1	tbd
Null	L3_MISS_LOCAL_DRAM.ANY_SNOOP	0x3fc400	0,1	tbd
Null	L3_MISS.SPL_HIT	0x007c00	0,1	tbd
Null	L3_MISS.SNOOP_NONE	0x00bc00	0,1	tbd
Null	L3_MISS.SNOOP_NOT_NEEDED	0x013c00	0,1	tbd
Null	L3_MISS.SNOOP_MISS	0x023c00	0,1	tbd
Null	L3_MISS.SNOOP_HIT_NO_FWD	0x043c00	0,1	tbd
Null	L3_MISS.SNOOP_HITM	0x103c00	0,1	tbd
Null	L3_MISS.SNOOP_NON_DRAM	0x203c00	0,1	tbd
Null	L3_MISS.ANY_SNOOP	0x3ffc00	0,1	tbd
